,host_response_time,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,cleaning_fee,guests_included,extra_people,maximum_nights,availability_90,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,first_review_since_host,last_review_month,host_active_days,Wireless Internet,Heating,Kitchen,Smoke Detector,Essentials,Dryer,Washer,Internet,Shampoo,TV,Carbon Monoxide Detector,Fire Extinguisher,Free Parking on Premises,Family/Kid Friendly,First Aid Kit,Cable TV,Indoor Fireplace,Pets live on this property,Hangers,Elevator in Building,Hair Dryer,Laptop Friendly Workspace,Iron,Safety Card,Air Conditioning,24-Hour Check-in,Buzzer/Wireless Intercom,Pets Allowed,Gym,yield
345,within an hour,100%,1.0,1.0,1.0,Other neighborhoods,1.0,House,Entire home/apt,2,1.0,0.0,1.0,20.0,1,0.0,1125,82,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,flexible,0.0,0.0,1,6-12 months,2-8 weeks,710.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.85
346,within a day,90-99%,0.0,1.0,1.0,Other neighborhoods,1.0,House,Entire home/apt,6,1.0,2.0,3.0,50.0,2,20.0,1125,90,80-94/100,9/10,0-8/10,10/10,10/10,10/10,9/10,0.0,strict,0.0,0.0,1,6-12 months,0-2 weeks,1134.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,553.0
347,unknown,unknown,0.0,1.0,0.0,Other neighborhoods,1.0,Apartment,Entire home/apt,2,1.0,1.0,1.0,0.0,1,0.0,1125,0,0-79/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,flexible,0.0,0.0,1,0-6 months,2-6 months,173.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0
348,within an hour,100%,0.0,1.0,1.0,Other neighborhoods,1.0,House,Private room,3,1.0,1.0,3.0,10.0,1,20.0,30,86,80-94/100,9/10,10/10,10/10,10/10,10/10,9/10,0.0,flexible,1.0,1.0,2,0-6 months,2-8 weeks,1306.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.5
349,within an hour,100%,0.0,1.0,1.0,Other neighborhoods,1.0,House,Entire home/apt,5,1.0,2.0,2.0,75.0,6,25.0,1125,15,95-100/100,10/10,10/10,10/10,10/10,9/10,9/10,0.0,strict,0.0,0.0,2,1-2 years,2-6 months,895.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,52.5
350,within an hour,50-89%,0.0,1.0,1.0,Other neighborhoods,1.0,House,Shared room,1,1.0,1.0,1.0,35.0,1,0.0,1125,90,80-94/100,9/10,0-8/10,9/10,10/10,9/10,10/10,0.0,strict,0.0,0.0,37,2-3 years,2-6 months,1554.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0
351,within a few hours,100%,0.0,1.0,0.0,Other neighborhoods,1.0,House,Private room,2,2.0,1.0,2.0,15.0,1,10.0,730,63,80-94/100,9/10,9/10,10/10,10/10,10/10,9/10,0.0,moderate,0.0,0.0,1,0-6 months,0-2 weeks,1981.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.86
352,a few days or more,0-49%,0.0,1.0,1.0,Other neighborhoods,1.0,House,Private room,2,1.0,1.0,1.0,30.0,1,10.0,1125,90,0-79/100,0-8/10,0-8/10,0-8/10,0-8/10,9/10,0-8/10,0.0,moderate,0.0,0.0,2,2-3 years,6-12 months,1427.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0
353,within a day,50-89%,0.0,1.0,0.0,Other neighborhoods,1.0,House,Entire home/apt,5,1.0,2.0,3.0,40.0,4,20.0,1125,0,0-79/100,9/10,9/10,10/10,9/10,9/10,0-8/10,0.0,flexible,0.0,0.0,1,4+ years,2-6 months,1583.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0
354,within a day,90-99%,0.0,1.0,1.0,Other neighborhoods,1.0,House,Entire home/apt,3,1.0,0.0,1.0,0.0,1,0.0,500,81,80-94/100,9/10,9/10,10/10,9/10,10/10,10/10,0.0,strict,0.0,0.0,1,2-3 years,2-8 weeks,1134.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,79.2
355,within an hour,100%,0.0,1.0,1.0,Other neighborhoods,1.0,House,Private room,2,1.0,1.0,1.0,15.0,1,10.0,1125,85,80-94/100,9/10,9/10,10/10,10/10,10/10,9/10,0.0,moderate,0.0,0.0,2,0-6 months,2-8 weeks,763.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,479.0799999999999
356,within a few hours,100%,0.0,1.0,1.0,Other neighborhoods,1.0,House,Entire home/apt,8,3.0,4.0,5.0,175.0,0,0.0,31,0,95-100/100,10/10,10/10,10/10,10/10,9/10,10/10,0.0,moderate,0.0,0.0,1,0-6 months,2-6 months,347.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1817.0
357,within an hour,50-89%,0.0,1.0,1.0,Other neighborhoods,1.0,House,Shared room,1,1.0,1.0,1.0,35.0,1,0.0,1125,89,80-94/100,10/10,9/10,9/10,10/10,9/10,10/10,0.0,strict,0.0,0.0,37,2-3 years,1+ year,1554.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.800000000000004
358,within a few hours,100%,0.0,1.0,1.0,Other neighborhoods,1.0,House,Entire home/apt,2,1.0,1.0,1.0,25.0,1,0.0,10,57,80-94/100,10/10,9/10,9/10,10/10,10/10,9/10,0.0,strict,0.0,0.0,1,1-2 years,2-6 months,945.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,358.62
359,within an hour,100%,0.0,1.0,1.0,Other neighborhoods,1.0,Apartment,Entire home/apt,4,1.0,1.0,2.0,75.0,1,0.0,1125,90,80-94/100,10/10,10/10,10/10,10/10,10/10,9/10,1.0,strict,0.0,0.0,2,6-12 months,2-8 weeks,439.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,197.39999999999998
360,within an hour,100%,0.0,1.0,1.0,Other neighborhoods,1.0,Apartment,Entire home/apt,4,1.0,1.0,1.0,50.0,2,10.0,90,78,80-94/100,10/10,10/10,10/10,10/10,10/10,9/10,0.0,moderate,0.0,0.0,2,1-2 years,0-2 weeks,1237.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.49999999999994
361,within a few hours,90-99%,0.0,1.0,1.0,Other neighborhoods,1.0,Apartment,Entire home/apt,4,1.0,2.0,2.0,155.0,1,0.0,1125,90,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,0.0,strict,0.0,0.0,8,0-6 months,2-6 months,266.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,209.79000000000002
362,within a day,100%,0.0,1.0,0.0,Other neighborhoods,1.0,Apartment,Private room,3,1.0,1.0,1.0,0.0,1,0.0,1125,7,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,0.0,flexible,0.0,0.0,1,no reviews,no reviews,81.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
