,host_id,host_since,host_response_time,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,zipcode,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,weekly_price,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_90,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,first_review_since_host,last_review_month,host_active_days,Wireless_Internet,Heating,Kitchen,Smoke_Detector,Essentials,Dryer,Washer,Internet,Shampoo,TV,Carbon_Monoxide_Detector,Fire_Extinguisher,Free_Parking_on_Premises,Family/Kid_Friendly,First_Aid_Kit,Cable_TV,Indoor_Fireplace,Pets_live_on_this_property,Hangers,Elevator_in_Building,Hair_Dryer,Laptop_Friendly_Workspace,Iron,Safety_Card,Air_Conditioning,24-Hour_Check-in,Buzzer/Wireless_Intercom,Pets_Allowed,Gym,yield
2274,37052599,2015-06-29,unknown,unknown,0.0,1.0,0.0,Rainier Valley,98144,47.577641923450784,-122.2891996038204,0.0,House,Private room,1,1.0,1.0,1.0,55.0,$300.00,15.0,1,20.0,1,1125,90,,,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,0.0,flexible,0.0,0.0,1,0.0,no reviews,no reviews,189.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2275,47332984,2015-10-24,within an hour,100%,0.0,1.0,1.0,Rainier Valley,98144,47.571674497462084,-122.28772083668049,1.0,House,Private room,2,1.0,1.0,1.0,49.0,,0.0,1,7.0,1,1125,80,2015-11-01,2016-01-02,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,moderate,0.0,0.0,1,4.62,0-6 months,0-2 weeks,72.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.38
2276,50133022,2015-11-29,within a few hours,100%,0.0,1.0,1.0,Rainier Valley,98144,47.574989233644295,-122.2910869222613,1.0,House,Private room,2,0.0,1.0,2.0,40.0,,10.0,1,5.0,1,1125,28,,,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,1.0,flexible,0.0,0.0,1,0.0,no reviews,no reviews,36.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2277,10235544,2013-11-24,within an hour,100%,0.0,1.0,1.0,Rainier Valley,98144,47.59090863759553,-122.29477767361395,1.0,House,Entire home/apt,4,1.0,1.0,1.0,95.0,$650.00,75.0,2,25.0,3,1125,85,2014-04-21,2015-12-28,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,strict,0.0,0.0,1,0.63,0-6 months,0-2 weeks,771.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,179.55
2278,11604512,2015-07-15,within a day,100%,1.0,1.0,1.0,Rainier Valley,98144,47.57868657801485,-122.29152464393894,1.0,House,Private room,2,1.0,1.0,1.0,70.0,$400.00,25.0,1,0.0,1,30,77,2015-08-09,2015-12-28,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,moderate,0.0,0.0,1,5.23,0-6 months,0-2 weeks,173.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.1
2279,51461746,2015-12-15,unknown,unknown,0.0,1.0,0.0,Rainier Valley,98144,47.57376352047368,-122.2943417036798,1.0,House,Private room,2,1.0,1.0,1.0,74.0,,50.0,1,0.0,1,60,89,,,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,0.0,flexible,0.0,0.0,1,0.0,no reviews,no reviews,20.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2280,32609589,2015-05-04,within a day,100%,0.0,1.0,0.0,Rainier Valley,98144,47.57589070198042,-122.28847781021194,1.0,House,Private room,1,1.0,1.0,1.0,90.0,$500.00,0.0,1,0.0,1,1125,89,2015-06-07,2015-10-13,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0.0,flexible,0.0,0.0,1,0.99,0-6 months,2-6 months,245.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,89.1
2281,278781,2010-11-04,unknown,unknown,1.0,1.0,1.0,Rainier Valley,98144,47.57931034783584,-122.29288601841937,1.0,House,Entire home/apt,7,3.0,3.0,3.0,150.0,,120.0,1,50.0,1,7,0,2013-08-06,2015-08-30,80-94/100,9/10,9/10,10/10,10/10,9/10,9/10,0.0,moderate,0.0,0.0,1,0.65,2-3 years,2-6 months,1887.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5
2282,1731613,2012-02-10,within a few hours,100%,0.0,1.0,1.0,Rainier Valley,98144,47.57978356318417,-122.2917294615127,1.0,House,Entire home/apt,4,1.5,4.0,3.0,175.0,"$1,000.00",0.0,1,0.0,3,14,0,,,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,no reviews,0.0,strict,0.0,0.0,1,0.0,no reviews,no reviews,1424.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2283,3401993,2012-08-28,within an hour,50-89%,0.0,1.0,1.0,Rainier Valley,98118,47.56840825240406,-122.28621404522764,1.0,House,Private room,1,1.0,1.0,1.0,42.0,$250.00,0.0,1,35.0,1,20,0,2013-10-20,2015-12-01,95-100/100,10/10,10/10,10/10,10/10,9/10,10/10,1.0,moderate,0.0,0.0,3,7.06,1-2 years,2-8 weeks,1224.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.52
